"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"PROD_ID";"VALUE";
"1";"";"CRYSTALHC49US";"HC49US";"Y1";"Various standard crystals. Proven footprints.";"";"";"";
"1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST";"JST 2-Pin Connectors of various flavors";"";"";"";
"1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1";"LED";"";"";"";
"2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED4, LED5";"LED";"";"";"";
"3";"";"LEDCHIPLED_1206";"CHIPLED_1206";"HIGH, LOW, OK";"LED";"";"";"";
"15";"";"PINHD-1X1";"1X01";"SCREW, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14, JP15";"Pin header 1x1 for 0.1" spacing";"";"";"";
"1";"";"PINHD-1X4";"1X04";"MOTOR";"PIN HEADER";"";"";"";
"1";"";"PINHD-1X8";"1X08";"PORTC";"PIN HEADER";"";"";"";
"16";"";"R-US_M0805";"M0805";"R1, R2, R3, R4, R11, R12, R13, R14, R15, R16, R17, R18, R27, R28, R29, R30";"RESISTOR, American symbol";"";"";"";
"2";"";"SWITCH-SPDTKIT";"SWITCH-SPDT_KIT";"S1, S2";"SPDT Switch";"";"SWCH-08261";"";
"1";"+5V";"V_REG_78XX7812";"TO-252";"U1";"Voltage Regulator";"";"VREG-12370";"+12v";
"1";"0.33uF";"C-USC0805";"C0805";"C3";"CAPACITOR, American symbol";"";"";"";
"1";"100";"R-US_M0805";"M0805";"R22";"RESISTOR, American symbol";"";"";"";
"8";"100n";"C-USC0805";"C0805";"C1, C5, C6, C7, C8, C9, C12, C13";"CAPACITOR, American symbol";"";"";"";
"1";"100uF";"CPOL-USUD-8X10";"UD-8X10_NICHICON";"C4";"POLARIZED CAPACITOR, American symbol";"";"";"";
"3";"10K";"R-US_M0805";"M0805";"R9, R21, R23";"RESISTOR, American symbol";"";"";"";
"2";"10M";"R-US_M0805";"M0805";"R19, R20";"RESISTOR, American symbol";"";"";"";
"4";"1K";"R-US_M0805";"M0805";"R5, R6, R10, R31";"RESISTOR, American symbol";"";"";"";
"1";"1uF";"C-USC0805";"C0805";"C2";"CAPACITOR, American symbol";"";"";"";
"2";"22p";"C-USC0805";"C0805";"C10, C11";"CAPACITOR, American symbol";"";"";"";
"2";"5.6K";"R-US_M0805";"M0805";"R24, R25";"RESISTOR, American symbol";"";"";"";
"3";"68.1K";"R-US_M0805";"M0805";"R7, R8, R26";"RESISTOR, American symbol";"";"";"";
"1";"74HC4052";"74HC4052SO";"SO16";"U2";"Dual 4:1 analog mux";"";"IC-09813";"74HC4052";
"1";"ATMEGA328P";"ATMEGA328P_TQFP";"TQFP32-08";"U3";"";"";"IC-09069";"ATMEGA328P_TQFP";
"1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"ICSP";"AVR ISP 6 Pin";"";"";"";
"2";"CAPSENSE_PAD";"CAPSENSE_PAD";"CAPSENSE_PAD";"U$1, U$2";"Generic copper pad for a capacitive touch sensor.";"";"";"";
"1";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI";"FTDI Basic header with labels";"";"";"";
"1";"LM339D";"LM339D";"SO14";"IC2";"Low Power Low Offset Voltage Quad Comparators";"";"";"";
"1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Q2";"Generic NPN BJT";"";"TRANS-08049";"MMBT2222A";
"1";"MOSFET-PCHANNELFQP27P06";"MOSFET-PCHANNELFQP27P06";"TO220V";"Q3";"Generic PMOSFET";"";"";"";
"1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"JP1";"Power Jack";"";"CONN-08197";"";
"1";"SHORTT5";"SHORTT5";"SHORT_TOP-50";"SH1";"Short between two nets";"no";"";"";
"1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"RESET";"SMT 6mm switch, EVQQ2 series";"";"";"";
"1";"USB+SHIELD";"USB+SHIELD";"USB-B-PTH";"U$3";"USB+Shield";"";"";"";
